index,prompt,good_jpg,bad_jpg,origin_index
0,"a photo of a female spacer on the moon, in the style of colorful fantasy realism, vray tracing, animecore, glamorous pin-ups, neo-geo, futuristic organic, bulbous",good_0.jpg,bad_0.jpg,32
1,Painting of quantum foam brane cyberpunk style,good_1.jpg,bad_1.jpg,79
2,"a film still portrait of cute girl, finely detailed features, perfect art, trending on pixiv fanbox, painted by greg rutkowski makoto shinkai takashi takeuchi studio ghibli, akihiko yoshida",good_2.jpg,bad_2.jpg,93
3,underworld,good_3.jpg,bad_3.jpg,100
4,"the model, who is modeled in an oldfashioned gold dress, is wearing a hat covered in flowers, in the style of hyper-realistic details, warm tonal range, light brown and yellow, oliver wetter, intense close-ups, andrea mantegna, light orange and light bronze",good_4.jpg,bad_4.jpg,143
5,"16k hyper-detailed photorealistic giclee quality concept art by stephen gammell, by leng jun, by marc adamus, by esao andrews, by kenny scharf, by ansel adams, by ellen jewett, by zaha hadid",good_5.jpg,bad_5.jpg,146
6,"Zoey Saldana as Neytiri from Avatar as a blue-skinned Na’vi naturist in the Pandora jungle, HD 4K, sharp detail, photo-realistic accurate face and features, cinematic lighting",good_6.jpg,bad_6.jpg,182
7,nightfall in utopia in the style of c,good_7.jpg,bad_7.jpg,222
8,giant canyon filled with clouds below epic photorealistic painting trending on artstation,good_8.jpg,bad_8.jpg,235
9,"A silver-haired elf sorceress reclining on a sofa while a hobgoblin guard stands at the door, detailed fantasy illustration",good_9.jpg,bad_9.jpg,247
10,"Close-up face portrait of beautiful Kate Moss with 80s big teased hairstyle, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl, highly detailed, surrealism",good_10.jpg,bad_10.jpg,286
11,"Frank Zappa as Gandalf with pointy hat and electric guitar, psychedelic colors, surrealistic, HD 4K, sharp detail, photo-realistic accurate face and features, cinematic volumetric lighting",good_11.jpg,bad_11.jpg,323
12,a world where science and fantasy collide,good_12.jpg,bad_12.jpg,372
13,"family portrait,rob rey,wes anderson,Serge Marshennikov,beeple,justin gerard,shaun tan,peter mohrbacher,John Kenn,jim burns,wayne barlowe,Ian McQue,Anton Semenov,mark ryden",good_13.jpg,bad_13.jpg,382
14,"Caricature woman photo real stylized digital painting illustration The fantasy artwork of jake pifer, in the style of whimsical sci-fi, digital airbrushing, , surrealistic detail, sharp prickly, precisionism influence, colorful:1",good_14.jpg,bad_14.jpg,417
15,Digital art of a woman in a red dress,good_15.jpg,bad_15.jpg,454
16,young woman with big teased 80's hair,good_16.jpg,bad_16.jpg,485
17,"Digital image of a samurai, wearing a green kimono holding a katana in both hands, smooth lighting,",good_17.jpg,bad_17.jpg,491
18,"HyperReal close-up portrait of Kate Moss with 1980s punk mullet hairstyle by Robert McCall and Thomas Kinkade, 1970s music album cover style, hyperrealistic, hyperrealism, surrealism in Roger Dean style, 1970s rock n roll fashion, ultra realistic, highly detailed, 8k",good_18.jpg,bad_18.jpg,547
19,"A human girl who used ot be a cat, fantasy illustration",good_19.jpg,bad_19.jpg,603
20,A painting of a beautiful woman by J. C. Leyendecker.,good_20.jpg,bad_20.jpg,633
21,"Blue skinned long eared sea elf chef elf apprentice girlbwith blue skin, in a ghost ships kitchen! Intricately detailed; by jeremy mann, andree wallin, dave white, deep depth of field, dramatic lighting, craig mullins, large bold brush strokes, maximalist, featured on deviant art, Ray Tracing",good_21.jpg,bad_21.jpg,674
22,"a woman, dressed in medieval armor, athletic, dirty blonde hair, looking away",good_22.jpg,bad_22.jpg,701
23,"A village, illustration",good_23.jpg,bad_23.jpg,744
24,"an instagram model in a city street, wearing a dress, portrait photo, unslpash",good_24.jpg,bad_24.jpg,758
25,tall silhouetted castellated cybsersecurity watchtower overlooks the valley,good_25.jpg,bad_25.jpg,765
26,white woman,good_26.jpg,bad_26.jpg,795
27,Cliffside megastructure by frank Ghery,good_27.jpg,bad_27.jpg,818
28,portrait in watercolour and chalk with abstract edges,good_28.jpg,bad_28.jpg,866
29,"Fantasy painting of a woman lost in thought beside the sea, dark moonless night",good_29.jpg,bad_29.jpg,872
30,"red haired woman with blue eyes, d&d character portrait, concept art",good_30.jpg,bad_30.jpg,895
31,a nighttime photograph of an 1980s era Japanese city with neon signs and billboards,good_31.jpg,bad_31.jpg,942
32,"Raphael Lacoste, Hugh Ferriss, Le Corbusier, Oscar Niemeyer, Jasper Cropsey, John Howe, Sabbas Apterus, Jan Toorop, Albert Bierstadt, Hubert Robert, Stephan Martiniere, stunning masterpiece, wide shot, spell battle",good_32.jpg,bad_32.jpg,987
33,"8k,french beautiful girl, stockings, mini skirt, long legs, lush hair, plunging neckline, full body wide angle shot",good_33.jpg,bad_33.jpg,1019
